0.000000000000000000e+00,1.450000000000000000e+01,1.600000000000000000e+01,1.650000000000000000e+01,1.100000000000000000e+01,1.200000000000000000e+01,1.650000000000000000e+01,1.450000000000000000e+01,1.750000000000000000e+01,1.300000000000000000e+01
1.450000000000000000e+01,0.000000000000000000e+00,1.300000000000000000e+01,1.400000000000000000e+01,1.800000000000000000e+01,1.450000000000000000e+01,1.600000000000000000e+01,1.350000000000000000e+01,1.250000000000000000e+01,1.150000000000000000e+01
1.600000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,1.250000000000000000e+01,1.100000000000000000e+01,1.500000000000000000e+01,1.200000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.250000000000000000e+01
1.650000000000000000e+01,1.400000000000000000e+01,1.250000000000000000e+01,0.000000000000000000e+00,1.350000000000000000e+01,1.650000000000000000e+01,1.750000000000000000e+01,1.100000000000000000e+01,1.500000000000000000e+01,1.550000000000000000e+01
1.100000000000000000e+01,1.800000000000000000e+01,1.100000000000000000e+01,1.350000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,1.550000000000000000e+01,1.150000000000000000e+01,1.200000000000000000e+01,1.750000000000000000e+01
1.200000000000000000e+01,1.450000000000000000e+01,1.500000000000000000e+01,1.650000000000000000e+01,1.800000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,1.500000000000000000e+01,1.600000000000000000e+01,1.750000000000000000e+01
1.650000000000000000e+01,1.600000000000000000e+01,1.200000000000000000e+01,1.750000000000000000e+01,1.550000000000000000e+01,1.700000000000000000e+01,0.000000000000000000e+00,1.300000000000000000e+01,1.800000000000000000e+01,1.800000000000000000e+01
1.450000000000000000e+01,1.350000000000000000e+01,1.300000000000000000e+01,1.100000000000000000e+01,1.150000000000000000e+01,1.500000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,1.300000000000000000e+01
1.750000000000000000e+01,1.250000000000000000e+01,1.300000000000000000e+01,1.500000000000000000e+01,1.200000000000000000e+01,1.600000000000000000e+01,1.800000000000000000e+01,1.700000000000000000e+01,0.000000000000000000e+00,1.300000000000000000e+01
1.300000000000000000e+01,1.150000000000000000e+01,1.250000000000000000e+01,1.550000000000000000e+01,1.750000000000000000e+01,1.750000000000000000e+01,1.800000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00
